stream,src,dst,size,period,deadline,jitter
0,0,[81],244,1000000,600000,0
1,1,[82],284,1000000,620000,0
2,2,[83],324,1000000,640000,0
3,3,[84],364,1000000,650000,0
4,4,[85],404,1000000,630000,0
5,5,[86],244,1000000,600000,0
6,6,[87],284,1000000,620000,0
7,7,[88],324,1000000,640000,0
8,8,[89],364,1000000,650000,0
9,9,[90],404,1000000,630000,0
10,10,[91],244,1000000,600000,0
11,11,[92],284,1000000,620000,0
12,12,[93],324,1000000,640000,0
13,13,[94],364,1000000,650000,0
14,14,[95],404,1000000,630000,0
15,15,[96],244,1000000,600000,0
16,16,[97],284,1000000,620000,0
17,17,[98],324,1000000,640000,0
18,18,[99],364,1000000,650000,0
19,19,[100],404,1000000,630000,0
20,20,[101],244,1000000,600000,0
21,21,[102],284,1000000,620000,0
22,22,[103],324,1000000,640000,0
23,23,[104],364,1000000,650000,0
24,24,[105],404,1000000,630000,0
25,25,[106],244,1000000,600000,0
26,26,[107],284,1000000,620000,0
27,27,[108],324,1000000,640000,0
28,28,[109],364,1000000,650000,0
29,29,[110],404,1000000,630000,0
30,30,[111],244,1000000,600000,0
31,31,[112],284,1000000,620000,0
32,32,[113],324,1000000,640000,0
33,33,[114],364,1000000,650000,0
34,34,[115],404,1000000,630000,0
35,35,[116],244,1000000,600000,0
36,36,[117],284,1000000,620000,0
37,37,[118],324,1000000,640000,0
38,38,[119],364,1000000,650000,0
39,39,[120],404,1000000,630000,0
40,40,[121],244,1000000,600000,0
41,41,[122],284,1000000,620000,0
42,42,[123],324,1000000,640000,0
43,43,[124],364,1000000,650000,0
44,44,[125],404,1000000,630000,0
45,45,[126],244,1000000,600000,0
46,46,[127],284,1000000,620000,0
47,47,[128],324,1000000,640000,0
48,48,[129],364,1000000,650000,0
49,49,[130],404,1000000,630000,0
50,50,[131],244,1000000,600000,0
51,51,[132],284,1000000,620000,0
52,52,[133],324,1000000,640000,0
53,53,[134],364,1000000,650000,0
54,54,[135],404,1000000,630000,0
55,55,[136],244,1000000,600000,0
56,56,[137],284,1000000,620000,0
57,57,[138],324,1000000,640000,0
58,58,[139],364,1000000,650000,0
59,59,[140],404,1000000,630000,0
60,60,[141],244,1000000,600000,0
61,61,[142],284,1000000,620000,0
62,62,[143],324,1000000,640000,0
63,63,[144],364,1000000,650000,0
64,64,[145],404,1000000,630000,0
65,65,[146],244,1000000,600000,0
66,66,[147],284,1000000,620000,0
67,67,[148],324,1000000,640000,0
68,68,[149],364,1000000,650000,0
69,69,[150],404,1000000,630000,0
70,70,[151],244,1000000,600000,0
71,71,[152],284,1000000,620000,0
72,72,[153],324,1000000,640000,0
73,73,[154],364,1000000,650000,0
74,74,[155],404,1000000,630000,0
75,75,[156],244,1000000,600000,0
76,76,[157],284,1000000,620000,0
77,77,[158],324,1000000,640000,0
78,78,[159],364,1000000,650000,0
79,79,[0],404,1000000,630000,0
80,80,[1],244,1000000,600000,0
81,81,[2],284,1000000,620000,0
82,82,[3],324,1000000,640000,0
83,83,[4],364,1000000,650000,0
84,84,[5],404,1000000,630000,0
85,85,[6],244,1000000,600000,0
86,86,[7],284,1000000,620000,0
87,87,[8],324,1000000,640000,0
88,88,[9],364,1000000,650000,0
89,89,[10],404,1000000,630000,0
90,90,[11],244,1000000,600000,0
91,91,[12],284,1000000,620000,0
92,92,[13],324,1000000,640000,0
93,93,[14],364,1000000,650000,0
94,94,[15],404,1000000,630000,0
