BE_count,ES_count,TT_count,average_switch_degree,generator_version,internal_link_count,max_degree,min_degree,p50_degree,p95_degree,scenario,scenario_sha256,seed,switch_count,topology_sha256,total_node_count,workload_sha256
0,20,100,4.0,exp14-circulant-degree4-v1,60,4,4,4.0,4,S1,fedd4cda494684bdb00c771cb09afb6db00896e77e47e3a50a1b6c46f20297fa,1400,30,9bf059eab8525c3cd9c34ece96d77cb7b932bd1fa8e67f8403fa481e6e37026a,50,d94874da31ee613f28daab3e096ef3f75f253f61099f52c407d1699788df1133
0,40,200,4.0,exp14-circulant-degree4-v1,120,4,4,4.0,4,S2,552c320945e983a03fc41f74f07375b7e0105e6363a424f3e5576188a87fe515,1400,60,15a74cf467f0e5aa5de1bb7fc0ca5e97a02f01b7f7f35fcd1c497ba456e30899,100,e4984e5ed6dde1f21532b40a5e96d3e19d0e5a0337d88ebdbf29047a915c7b24
0,50,500,4.0,exp14-circulant-degree4-v1,200,4,4,4.0,4,S3,dd7b6f4f881079ee4103ac34593b10db3dfe16608c932614f48b139d33948071,1400,100,fd0f698d8eae322a4ebb3e005391a1e794ce913ee9db5e529092d3672470061d,150,e084796b9d19dd55350072f0abdc5f012d6b3a8f1dc6eb239547a0f2f116aea3
0,80,500,4.0,exp14-circulant-degree4-v1,340,4,4,4.0,4,S4,39b42a767ac8ce0f0192370451de230493d97cc1fcd42d294f200b95cd24067f,1400,170,e3d7f8fd4d5bf5d4a4617ddb2856a4baf098c8d8ce007af9f2039947f7fd2c75,250,a81f9e208eec0829d3fb6a7e85ffc70bb898b3b04ba23c5fd63c4df595a34def
0,80,1000,4.0,exp14-circulant-degree4-v1,340,4,4,4.0,4,S5,c4e23a2f2a535c52675c881f1fc6f94317e1b9e1eee81fdfe9c9d14280d129c5,1400,170,e3d7f8fd4d5bf5d4a4617ddb2856a4baf098c8d8ce007af9f2039947f7fd2c75,250,e5fbe93b7bbd58640a04421eae0bf0b3524d156766889729d775da867c8432c1
0,160,1000,4.0,exp14-circulant-degree4-v1,680,4,4,4.0,4,S6,2c8ca2e3bb522a420bc7688ecb0e866883ca5c07dbd3ce413776323813c09c5f,1400,340,b9381d74013c23e3b0a213a08be8c5aa069db84af0bcbfa28cb7eb4e5751a44d,500,3c35d81020ea40c41717a72cfe9b9d6c928576c7f609b0f7a223a7a6b37aeac8
0,160,2000,4.0,exp14-circulant-degree4-v1,680,4,4,4.0,4,S7,99cb743133a84f586b092eb025839e11355a51f72611a7f228953411eb78ccc8,1400,340,b9381d74013c23e3b0a213a08be8c5aa069db84af0bcbfa28cb7eb4e5751a44d,500,48bfbca114c4a6ca15cea18ae4b17d6c390dbf987abce595366493a6bbf21c69
0,320,2000,4.0,exp14-circulant-degree4-v1,1360,4,4,4.0,4,S8,28d09923f8058e589955e3b0b9c4bf6680d236dfbe0b9c045ebf0e0574b3e18b,1400,680,924d3dbddbb75f66bf95c413cee20c61c86a36aebcf8c4b34e5c9845724665a2,1000,6cfbf9b85b45cec9511639b7a733bd70d7165bc1ee836d747314ec71b822673c
0,50,100,4.0,exp14-circulant-degree4-v1,200,4,4,4.0,4,F150_TT100,36ae6b93138051340180fbb03b665d1fcb3c53d0f57d6d9b7a59495f5d8275e8,1400,100,fd0f698d8eae322a4ebb3e005391a1e794ce913ee9db5e529092d3672470061d,150,f18550396c55973de010406c3d415438a569facb1377ea43f35e51e4b44f7dd5
0,50,250,4.0,exp14-circulant-degree4-v1,200,4,4,4.0,4,F150_TT250,1228344953ff70f8b6ac7b1042bf9d8b63e87ed49ee1747d952b8c0bd7186190,1400,100,fd0f698d8eae322a4ebb3e005391a1e794ce913ee9db5e529092d3672470061d,150,e6f33e8690509e651fb87faf15fa2f339c43ea89867d6054b87edc9b4a6ac67c
0,50,500,4.0,exp14-circulant-degree4-v1,200,4,4,4.0,4,F150_TT500,a6eb355ee9f7860b57c8e1dfb4466376b489dad8fd1206e2100fb40ec3d27c33,1400,100,fd0f698d8eae322a4ebb3e005391a1e794ce913ee9db5e529092d3672470061d,150,e084796b9d19dd55350072f0abdc5f012d6b3a8f1dc6eb239547a0f2f116aea3
0,50,750,4.0,exp14-circulant-degree4-v1,200,4,4,4.0,4,F150_TT750,3910c42d930cfab841d062120f3bbe9072e4b04dd7eddb464a7369adc462a71e,1400,100,fd0f698d8eae322a4ebb3e005391a1e794ce913ee9db5e529092d3672470061d,150,bca1512a453870e0134edb835ecc97969902963490fc2aa9a84fa4c5c48b220f
0,50,1000,4.0,exp14-circulant-degree4-v1,200,4,4,4.0,4,F150_TT1000,d3e678213097a2569933bbfe38fba7391ca63c7c5001fd4fa537bec9b51f9fc3,1400,100,fd0f698d8eae322a4ebb3e005391a1e794ce913ee9db5e529092d3672470061d,150,bbc02ed75685a797062f829c02fb821a38f574ff4371c0bc3a7293757c6be7c4
