LOWEST_ID_completion,LOWEST_TRAFFIC_completion,LOW_PERIOD_completion,SOURCE_NODE_completion,always_HNF,baseline_HNF_rescued_by_other_policy,baseline_success_regressed_under_other_policy,flow_id,flow_kind,frame_size,period_ns,scenario,source,success_policy_count
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M01_A1_C01_M01,ControlCommand,64,500000,M_RING,PLC_C01_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M01_A2_C01_M01,ControlCommand,64,500000,M_RING,PLC_C01_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M01_A3_C01_M01,ControlCommand,64,500000,M_RING,PLC_C01_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M01_A4_C01_M01,ControlCommand,64,500000,M_RING,PLC_C01_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M02_A1_C01_M02,ControlCommand,64,500000,M_RING,PLC_C01_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M02_A2_C01_M02,ControlCommand,64,500000,M_RING,PLC_C01_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M02_A3_C01_M02,ControlCommand,64,500000,M_RING,PLC_C01_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M02_A4_C01_M02,ControlCommand,64,500000,M_RING,PLC_C01_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M03_A1_C01_M03,ControlCommand,64,500000,M_RING,PLC_C01_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M03_A2_C01_M03,ControlCommand,64,500000,M_RING,PLC_C01_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M03_A3_C01_M03,ControlCommand,64,500000,M_RING,PLC_C01_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C01_M03_A4_C01_M03,ControlCommand,64,500000,M_RING,PLC_C01_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M01_A1_C02_M01,ControlCommand,64,500000,M_RING,PLC_C02_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M01_A2_C02_M01,ControlCommand,64,500000,M_RING,PLC_C02_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M01_A3_C02_M01,ControlCommand,64,500000,M_RING,PLC_C02_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M01_A4_C02_M01,ControlCommand,64,500000,M_RING,PLC_C02_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M02_A1_C02_M02,ControlCommand,64,500000,M_RING,PLC_C02_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M02_A2_C02_M02,ControlCommand,64,500000,M_RING,PLC_C02_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M02_A3_C02_M02,ControlCommand,64,500000,M_RING,PLC_C02_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M02_A4_C02_M02,ControlCommand,64,500000,M_RING,PLC_C02_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M03_A1_C02_M03,ControlCommand,64,500000,M_RING,PLC_C02_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M03_A2_C02_M03,ControlCommand,64,500000,M_RING,PLC_C02_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M03_A3_C02_M03,ControlCommand,64,500000,M_RING,PLC_C02_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C02_M03_A4_C02_M03,ControlCommand,64,500000,M_RING,PLC_C02_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M01_A1_C03_M01,ControlCommand,64,500000,M_RING,PLC_C03_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M01_A2_C03_M01,ControlCommand,64,500000,M_RING,PLC_C03_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M01_A3_C03_M01,ControlCommand,64,500000,M_RING,PLC_C03_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M01_A4_C03_M01,ControlCommand,64,500000,M_RING,PLC_C03_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M02_A1_C03_M02,ControlCommand,64,500000,M_RING,PLC_C03_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M02_A2_C03_M02,ControlCommand,64,500000,M_RING,PLC_C03_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M02_A3_C03_M02,ControlCommand,64,500000,M_RING,PLC_C03_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M02_A4_C03_M02,ControlCommand,64,500000,M_RING,PLC_C03_M02,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M03_A1_C03_M03,ControlCommand,64,500000,M_RING,PLC_C03_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M03_A2_C03_M03,ControlCommand,64,500000,M_RING,PLC_C03_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M03_A3_C03_M03,ControlCommand,64,500000,M_RING,PLC_C03_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C03_M03_A4_C03_M03,ControlCommand,64,500000,M_RING,PLC_C03_M03,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C04_M01_A1_C04_M01,ControlCommand,64,500000,M_RING,PLC_C04_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C04_M01_A2_C04_M01,ControlCommand,64,500000,M_RING,PLC_C04_M01,4
FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,FULLY_SCHEDULED,False,False,False,CMD_PLC_C04_M01_A3_C04_M01,ControlCommand,64,500000,M_RING,PLC_C04_M01,4
