link,q_num,rate,t_proc,t_prop
"(0, 80)",8,1,0,0
"(80, 0)",8,1,0,0
"(1, 82)",8,1,0,0
"(82, 1)",8,1,0,0
"(2, 84)",8,1,0,0
"(84, 2)",8,1,0,0
"(3, 86)",8,1,0,0
"(86, 3)",8,1,0,0
"(4, 88)",8,1,0,0
"(88, 4)",8,1,0,0
"(5, 90)",8,1,0,0
"(90, 5)",8,1,0,0
"(6, 92)",8,1,0,0
"(92, 6)",8,1,0,0
"(7, 94)",8,1,0,0
"(94, 7)",8,1,0,0
"(8, 97)",8,1,0,0
"(97, 8)",8,1,0,0
"(9, 99)",8,1,0,0
"(99, 9)",8,1,0,0
"(10, 101)",8,1,0,0
"(101, 10)",8,1,0,0
"(11, 103)",8,1,0,0
"(103, 11)",8,1,0,0
"(12, 105)",8,1,0,0
"(105, 12)",8,1,0,0
"(13, 107)",8,1,0,0
"(107, 13)",8,1,0,0
"(14, 109)",8,1,0,0
"(109, 14)",8,1,0,0
"(15, 111)",8,1,0,0
"(111, 15)",8,1,0,0
"(16, 114)",8,1,0,0
"(114, 16)",8,1,0,0
"(17, 116)",8,1,0,0
"(116, 17)",8,1,0,0
"(18, 118)",8,1,0,0
"(118, 18)",8,1,0,0
"(19, 120)",8,1,0,0
"(120, 19)",8,1,0,0
"(20, 122)",8,1,0,0
"(122, 20)",8,1,0,0
"(21, 124)",8,1,0,0
"(124, 21)",8,1,0,0
"(22, 126)",8,1,0,0
"(126, 22)",8,1,0,0
"(23, 128)",8,1,0,0
"(128, 23)",8,1,0,0
"(24, 131)",8,1,0,0
"(131, 24)",8,1,0,0
"(25, 133)",8,1,0,0
"(133, 25)",8,1,0,0
"(26, 135)",8,1,0,0
"(135, 26)",8,1,0,0
"(27, 137)",8,1,0,0
"(137, 27)",8,1,0,0
"(28, 139)",8,1,0,0
"(139, 28)",8,1,0,0
"(29, 141)",8,1,0,0
"(141, 29)",8,1,0,0
"(30, 143)",8,1,0,0
"(143, 30)",8,1,0,0
"(31, 145)",8,1,0,0
"(145, 31)",8,1,0,0
"(32, 148)",8,1,0,0
"(148, 32)",8,1,0,0
"(33, 150)",8,1,0,0
