link,q_num,rate,t_proc,t_prop
"(0, 20)",8,1,0,0
"(20, 0)",8,1,0,0
"(1, 21)",8,1,0,0
"(21, 1)",8,1,0,0
"(2, 23)",8,1,0,0
"(23, 2)",8,1,0,0
"(3, 24)",8,1,0,0
"(24, 3)",8,1,0,0
"(4, 26)",8,1,0,0
"(26, 4)",8,1,0,0
"(5, 27)",8,1,0,0
"(27, 5)",8,1,0,0
"(6, 29)",8,1,0,0
"(29, 6)",8,1,0,0
"(7, 30)",8,1,0,0
"(30, 7)",8,1,0,0
"(8, 32)",8,1,0,0
"(32, 8)",8,1,0,0
"(9, 33)",8,1,0,0
"(33, 9)",8,1,0,0
"(10, 35)",8,1,0,0
"(35, 10)",8,1,0,0
"(11, 36)",8,1,0,0
"(36, 11)",8,1,0,0
"(12, 38)",8,1,0,0
"(38, 12)",8,1,0,0
"(13, 39)",8,1,0,0
"(39, 13)",8,1,0,0
"(14, 41)",8,1,0,0
"(41, 14)",8,1,0,0
"(15, 42)",8,1,0,0
"(42, 15)",8,1,0,0
"(16, 44)",8,1,0,0
"(44, 16)",8,1,0,0
"(17, 45)",8,1,0,0
"(45, 17)",8,1,0,0
"(18, 47)",8,1,0,0
"(47, 18)",8,1,0,0
"(19, 48)",8,1,0,0
"(48, 19)",8,1,0,0
"(20, 21)",8,1,0,0
"(21, 20)",8,1,0,0
"(20, 22)",8,1,0,0
"(22, 20)",8,1,0,0
"(20, 48)",8,1,0,0
"(48, 20)",8,1,0,0
"(20, 49)",8,1,0,0
"(49, 20)",8,1,0,0
"(21, 22)",8,1,0,0
"(22, 21)",8,1,0,0
"(21, 23)",8,1,0,0
"(23, 21)",8,1,0,0
"(21, 49)",8,1,0,0
"(49, 21)",8,1,0,0
"(22, 23)",8,1,0,0
"(23, 22)",8,1,0,0
"(22, 24)",8,1,0,0
"(24, 22)",8,1,0,0
"(23, 24)",8,1,0,0
"(24, 23)",8,1,0,0
"(23, 25)",8,1,0,0
"(25, 23)",8,1,0,0
"(24, 25)",8,1,0,0
"(25, 24)",8,1,0,0
"(24, 26)",8,1,0,0
"(26, 24)",8,1,0,0
"(25, 26)",8,1,0,0
"(26, 25)",8,1,0,0
"(25, 27)",8,1,0,0
"(27, 25)",8,1,0,0
"(26, 27)",8,1,0,0
"(27, 26)",8,1,0,0
"(26, 28)",8,1,0,0
"(28, 26)",8,1,0,0
"(27, 28)",8,1,0,0
"(28, 27)",8,1,0,0
"(27, 29)",8,1,0,0
"(29, 27)",8,1,0,0
"(28, 29)",8,1,0,0
"(29, 28)",8,1,0,0
"(28, 30)",8,1,0,0
"(30, 28)",8,1,0,0
"(29, 30)",8,1,0,0
"(30, 29)",8,1,0,0
"(29, 31)",8,1,0,0
"(31, 29)",8,1,0,0
"(30, 31)",8,1,0,0
"(31, 30)",8,1,0,0
"(30, 32)",8,1,0,0
"(32, 30)",8,1,0,0
"(31, 32)",8,1,0,0
"(32, 31)",8,1,0,0
"(31, 33)",8,1,0,0
"(33, 31)",8,1,0,0
"(32, 33)",8,1,0,0
"(33, 32)",8,1,0,0
"(32, 34)",8,1,0,0
"(34, 32)",8,1,0,0
"(33, 34)",8,1,0,0
"(34, 33)",8,1,0,0
"(33, 35)",8,1,0,0
"(35, 33)",8,1,0,0
"(34, 35)",8,1,0,0
"(35, 34)",8,1,0,0
"(34, 36)",8,1,0,0
"(36, 34)",8,1,0,0
"(35, 36)",8,1,0,0
"(36, 35)",8,1,0,0
"(35, 37)",8,1,0,0
"(37, 35)",8,1,0,0
"(36, 37)",8,1,0,0
"(37, 36)",8,1,0,0
"(36, 38)",8,1,0,0
"(38, 36)",8,1,0,0
"(37, 38)",8,1,0,0
"(38, 37)",8,1,0,0
"(37, 39)",8,1,0,0
"(39, 37)",8,1,0,0
"(38, 39)",8,1,0,0
"(39, 38)",8,1,0,0
"(38, 40)",8,1,0,0
"(40, 38)",8,1,0,0
"(39, 40)",8,1,0,0
"(40, 39)",8,1,0,0
"(39, 41)",8,1,0,0
"(41, 39)",8,1,0,0
"(40, 41)",8,1,0,0
"(41, 40)",8,1,0,0
"(40, 42)",8,1,0,0
"(42, 40)",8,1,0,0
"(41, 42)",8,1,0,0
"(42, 41)",8,1,0,0
"(41, 43)",8,1,0,0
"(43, 41)",8,1,0,0
"(42, 43)",8,1,0,0
"(43, 42)",8,1,0,0
"(42, 44)",8,1,0,0
"(44, 42)",8,1,0,0
"(43, 44)",8,1,0,0
"(44, 43)",8,1,0,0
"(43, 45)",8,1,0,0
"(45, 43)",8,1,0,0
"(44, 45)",8,1,0,0
"(45, 44)",8,1,0,0
"(44, 46)",8,1,0,0
"(46, 44)",8,1,0,0
"(45, 46)",8,1,0,0
"(46, 45)",8,1,0,0
"(45, 47)",8,1,0,0
"(47, 45)",8,1,0,0
"(46, 47)",8,1,0,0
"(47, 46)",8,1,0,0
"(46, 48)",8,1,0,0
"(48, 46)",8,1,0,0
"(47, 48)",8,1,0,0
"(48, 47)",8,1,0,0
"(47, 49)",8,1,0,0
"(49, 47)",8,1,0,0
"(48, 49)",8,1,0,0
"(49, 48)",8,1,0,0
