link,q_num,rate,t_proc,t_prop
"(0, 320)",8,1,0,0
"(320, 0)",8,1,0,0
"(1, 322)",8,1,0,0
"(322, 1)",8,1,0,0
"(2, 324)",8,1,0,0
"(324, 2)",8,1,0,0
"(3, 326)",8,1,0,0
"(326, 3)",8,1,0,0
"(4, 328)",8,1,0,0
"(328, 4)",8,1,0,0
"(5, 330)",8,1,0,0
"(330, 5)",8,1,0,0
"(6, 332)",8,1,0,0
"(332, 6)",8,1,0,0
"(7, 334)",8,1,0,0
"(334, 7)",8,1,0,0
"(8, 337)",8,1,0,0
"(337, 8)",8,1,0,0
"(9, 339)",8,1,0,0
"(339, 9)",8,1,0,0
"(10, 341)",8,1,0,0
"(341, 10)",8,1,0,0
"(11, 343)",8,1,0,0
"(343, 11)",8,1,0,0
"(12, 345)",8,1,0,0
"(345, 12)",8,1,0,0
"(13, 347)",8,1,0,0
"(347, 13)",8,1,0,0
"(14, 349)",8,1,0,0
"(349, 14)",8,1,0,0
"(15, 351)",8,1,0,0
"(351, 15)",8,1,0,0
"(16, 354)",8,1,0,0
"(354, 16)",8,1,0,0
"(17, 356)",8,1,0,0
"(356, 17)",8,1,0,0
"(18, 358)",8,1,0,0
"(358, 18)",8,1,0,0
"(19, 360)",8,1,0,0
"(360, 19)",8,1,0,0
"(20, 362)",8,1,0,0
"(362, 20)",8,1,0,0
"(21, 364)",8,1,0,0
"(364, 21)",8,1,0,0
"(22, 366)",8,1,0,0
"(366, 22)",8,1,0,0
"(23, 368)",8,1,0,0
"(368, 23)",8,1,0,0
"(24, 371)",8,1,0,0
"(371, 24)",8,1,0,0
"(25, 373)",8,1,0,0
"(373, 25)",8,1,0,0
"(26, 375)",8,1,0,0
"(375, 26)",8,1,0,0
"(27, 377)",8,1,0,0
"(377, 27)",8,1,0,0
"(28, 379)",8,1,0,0
"(379, 28)",8,1,0,0
"(29, 381)",8,1,0,0
"(381, 29)",8,1,0,0
"(30, 383)",8,1,0,0
"(383, 30)",8,1,0,0
"(31, 385)",8,1,0,0
"(385, 31)",8,1,0,0
"(32, 388)",8,1,0,0
"(388, 32)",8,1,0,0
"(33, 390)",8,1,0,0
"(390, 33)",8,1,0,0
"(34, 392)",8,1,0,0
"(392, 34)",8,1,0,0
"(35, 394)",8,1,0,0
"(394, 35)",8,1,0,0
"(36, 396)",8,1,0,0
"(396, 36)",8,1,0,0
"(37, 398)",8,1,0,0
"(398, 37)",8,1,0,0
"(38, 400)",8,1,0,0
"(400, 38)",8,1,0,0
"(39, 402)",8,1,0,0
"(402, 39)",8,1,0,0
"(40, 405)",8,1,0,0
"(405, 40)",8,1,0,0
"(41, 407)",8,1,0,0
"(407, 41)",8,1,0,0
"(42, 409)",8,1,0,0
"(409, 42)",8,1,0,0
"(43, 411)",8,1,0,0
"(411, 43)",8,1,0,0
"(44, 413)",8,1,0,0
"(413, 44)",8,1,0,0
"(45, 415)",8,1,0,0
"(415, 45)",8,1,0,0
"(46, 417)",8,1,0,0
"(417, 46)",8,1,0,0
"(47, 419)",8,1,0,0
"(419, 47)",8,1,0,0
"(48, 422)",8,1,0,0
"(422, 48)",8,1,0,0
"(49, 424)",8,1,0,0
"(424, 49)",8,1,0,0
"(50, 426)",8,1,0,0
"(426, 50)",8,1,0,0
"(51, 428)",8,1,0,0
"(428, 51)",8,1,0,0
"(52, 430)",8,1,0,0
"(430, 52)",8,1,0,0
"(53, 432)",8,1,0,0
"(432, 53)",8,1,0,0
"(54, 434)",8,1,0,0
"(434, 54)",8,1,0,0
"(55, 436)",8,1,0,0
"(436, 55)",8,1,0,0
"(56, 439)",8,1,0,0
"(439, 56)",8,1,0,0
"(57, 441)",8,1,0,0
"(441, 57)",8,1,0,0
"(58, 443)",8,1,0,0
"(443, 58)",8,1,0,0
"(59, 445)",8,1,0,0
"(445, 59)",8,1,0,0
"(60, 447)",8,1,0,0
"(447, 60)",8,1,0,0
"(61, 449)",8,1,0,0
"(449, 61)",8,1,0,0
"(62, 451)",8,1,0,0
"(451, 62)",8,1,0,0
"(63, 453)",8,1,0,0
"(453, 63)",8,1,0,0
"(64, 456)",8,1,0,0
"(456, 64)",8,1,0,0
"(65, 458)",8,1,0,0
