link,q_num,rate,t_proc,t_prop
"(0, 160)",8,1,0,0
"(160, 0)",8,1,0,0
"(1, 162)",8,1,0,0
"(162, 1)",8,1,0,0
"(2, 164)",8,1,0,0
"(164, 2)",8,1,0,0
"(3, 166)",8,1,0,0
"(166, 3)",8,1,0,0
"(4, 168)",8,1,0,0
"(168, 4)",8,1,0,0
"(5, 170)",8,1,0,0
"(170, 5)",8,1,0,0
"(6, 172)",8,1,0,0
"(172, 6)",8,1,0,0
"(7, 174)",8,1,0,0
"(174, 7)",8,1,0,0
"(8, 177)",8,1,0,0
"(177, 8)",8,1,0,0
"(9, 179)",8,1,0,0
"(179, 9)",8,1,0,0
"(10, 181)",8,1,0,0
"(181, 10)",8,1,0,0
"(11, 183)",8,1,0,0
"(183, 11)",8,1,0,0
"(12, 185)",8,1,0,0
"(185, 12)",8,1,0,0
"(13, 187)",8,1,0,0
"(187, 13)",8,1,0,0
"(14, 189)",8,1,0,0
"(189, 14)",8,1,0,0
"(15, 191)",8,1,0,0
"(191, 15)",8,1,0,0
"(16, 194)",8,1,0,0
"(194, 16)",8,1,0,0
"(17, 196)",8,1,0,0
"(196, 17)",8,1,0,0
"(18, 198)",8,1,0,0
"(198, 18)",8,1,0,0
"(19, 200)",8,1,0,0
"(200, 19)",8,1,0,0
"(20, 202)",8,1,0,0
"(202, 20)",8,1,0,0
"(21, 204)",8,1,0,0
"(204, 21)",8,1,0,0
"(22, 206)",8,1,0,0
"(206, 22)",8,1,0,0
"(23, 208)",8,1,0,0
"(208, 23)",8,1,0,0
"(24, 211)",8,1,0,0
"(211, 24)",8,1,0,0
"(25, 213)",8,1,0,0
"(213, 25)",8,1,0,0
"(26, 215)",8,1,0,0
"(215, 26)",8,1,0,0
"(27, 217)",8,1,0,0
"(217, 27)",8,1,0,0
"(28, 219)",8,1,0,0
"(219, 28)",8,1,0,0
"(29, 221)",8,1,0,0
"(221, 29)",8,1,0,0
"(30, 223)",8,1,0,0
"(223, 30)",8,1,0,0
"(31, 225)",8,1,0,0
"(225, 31)",8,1,0,0
"(32, 228)",8,1,0,0
"(228, 32)",8,1,0,0
"(33, 230)",8,1,0,0
"(230, 33)",8,1,0,0
"(34, 232)",8,1,0,0
"(232, 34)",8,1,0,0
"(35, 234)",8,1,0,0
"(234, 35)",8,1,0,0
"(36, 236)",8,1,0,0
"(236, 36)",8,1,0,0
"(37, 238)",8,1,0,0
"(238, 37)",8,1,0,0
"(38, 240)",8,1,0,0
"(240, 38)",8,1,0,0
"(39, 242)",8,1,0,0
"(242, 39)",8,1,0,0
"(40, 245)",8,1,0,0
"(245, 40)",8,1,0,0
"(41, 247)",8,1,0,0
"(247, 41)",8,1,0,0
"(42, 249)",8,1,0,0
"(249, 42)",8,1,0,0
"(43, 251)",8,1,0,0
"(251, 43)",8,1,0,0
"(44, 253)",8,1,0,0
"(253, 44)",8,1,0,0
"(45, 255)",8,1,0,0
"(255, 45)",8,1,0,0
"(46, 257)",8,1,0,0
"(257, 46)",8,1,0,0
"(47, 259)",8,1,0,0
"(259, 47)",8,1,0,0
"(48, 262)",8,1,0,0
"(262, 48)",8,1,0,0
"(49, 264)",8,1,0,0
"(264, 49)",8,1,0,0
"(50, 266)",8,1,0,0
"(266, 50)",8,1,0,0
"(51, 268)",8,1,0,0
"(268, 51)",8,1,0,0
"(52, 270)",8,1,0,0
"(270, 52)",8,1,0,0
"(53, 272)",8,1,0,0
"(272, 53)",8,1,0,0
"(54, 274)",8,1,0,0
"(274, 54)",8,1,0,0
"(55, 276)",8,1,0,0
"(276, 55)",8,1,0,0
"(56, 279)",8,1,0,0
"(279, 56)",8,1,0,0
"(57, 281)",8,1,0,0
"(281, 57)",8,1,0,0
"(58, 283)",8,1,0,0
"(283, 58)",8,1,0,0
"(59, 285)",8,1,0,0
"(285, 59)",8,1,0,0
"(60, 287)",8,1,0,0
"(287, 60)",8,1,0,0
