stream,src,dst,size,period,deadline,jitter
0,0,[11],244,1000000,600000,0
1,1,[12],284,1000000,620000,0
2,2,[13],324,1000000,640000,0
3,3,[14],364,1000000,650000,0
4,4,[15],404,1000000,630000,0
5,5,[16],244,1000000,600000,0
6,6,[17],284,1000000,620000,0
7,7,[18],324,1000000,640000,0
8,8,[19],364,1000000,650000,0
9,9,[0],404,1000000,630000,0
10,10,[1],244,1000000,600000,0
11,11,[2],284,1000000,620000,0
12,12,[3],324,1000000,640000,0
13,13,[4],364,1000000,650000,0
14,14,[5],404,1000000,630000,0
15,15,[6],244,1000000,600000,0
16,16,[7],284,1000000,620000,0
17,17,[8],324,1000000,640000,0
18,18,[9],364,1000000,650000,0
19,19,[10],404,1000000,630000,0
20,0,[12],244,1000000,600000,0
21,1,[13],284,1000000,620000,0
22,2,[14],324,1000000,640000,0
23,3,[15],364,1000000,650000,0
24,4,[16],404,1000000,630000,0
25,5,[17],244,1000000,600000,0
26,6,[18],284,1000000,620000,0
27,7,[19],324,1000000,640000,0
28,8,[0],364,1000000,650000,0
29,9,[1],404,1000000,630000,0
30,10,[2],244,1000000,600000,0
31,11,[3],284,1000000,620000,0
32,12,[4],324,1000000,640000,0
33,13,[5],364,1000000,650000,0
34,14,[6],404,1000000,630000,0
35,15,[7],244,1000000,600000,0
36,16,[8],284,1000000,620000,0
37,17,[9],324,1000000,640000,0
38,18,[10],364,1000000,650000,0
39,19,[11],404,1000000,630000,0
