stream,src,dst,size,period,deadline,jitter
0,0,[11],244,1000000,600000,0
1,1,[12],284,1000000,620000,0
2,2,[13],324,1000000,640000,0
3,3,[14],364,1000000,650000,0
4,4,[15],404,1000000,630000,0
5,5,[16],244,1000000,600000,0
6,6,[17],284,1000000,620000,0
7,7,[18],324,1000000,640000,0
8,8,[19],364,1000000,650000,0
9,9,[0],404,1000000,630000,0
10,10,[1],244,1000000,600000,0
11,11,[2],284,1000000,620000,0
12,12,[3],324,1000000,640000,0
13,13,[4],364,1000000,650000,0
14,14,[5],404,1000000,630000,0
15,15,[6],244,1000000,600000,0
16,16,[7],284,1000000,620000,0
17,17,[8],324,1000000,640000,0
18,18,[9],364,1000000,650000,0
19,19,[10],404,1000000,630000,0
20,0,[12],244,1000000,600000,0
21,1,[13],284,1000000,620000,0
22,2,[14],324,1000000,640000,0
23,3,[15],364,1000000,650000,0
24,4,[16],404,1000000,630000,0
25,5,[17],244,1000000,600000,0
26,6,[18],284,1000000,620000,0
27,7,[19],324,1000000,640000,0
28,8,[0],364,1000000,650000,0
29,9,[1],404,1000000,630000,0
30,10,[2],244,1000000,600000,0
31,11,[3],284,1000000,620000,0
32,12,[4],324,1000000,640000,0
33,13,[5],364,1000000,650000,0
34,14,[6],404,1000000,630000,0
35,15,[7],244,1000000,600000,0
36,16,[8],284,1000000,620000,0
37,17,[9],324,1000000,640000,0
38,18,[10],364,1000000,650000,0
39,19,[11],404,1000000,630000,0
40,0,[13],244,1000000,600000,0
41,1,[14],284,1000000,620000,0
42,2,[15],324,1000000,640000,0
43,3,[16],364,1000000,650000,0
44,4,[17],404,1000000,630000,0
45,5,[18],244,1000000,600000,0
46,6,[19],284,1000000,620000,0
47,7,[0],324,1000000,640000,0
48,8,[1],364,1000000,650000,0
49,9,[2],404,1000000,630000,0
50,10,[3],244,1000000,600000,0
51,11,[4],284,1000000,620000,0
52,12,[5],324,1000000,640000,0
53,13,[6],364,1000000,650000,0
54,14,[7],404,1000000,630000,0
55,15,[8],244,1000000,600000,0
56,16,[9],284,1000000,620000,0
57,17,[10],324,1000000,640000,0
58,18,[11],364,1000000,650000,0
59,19,[12],404,1000000,630000,0
60,0,[14],244,1000000,600000,0
61,1,[15],284,1000000,620000,0
62,2,[16],324,1000000,640000,0
63,3,[17],364,1000000,650000,0
64,4,[18],404,1000000,630000,0
65,5,[19],244,1000000,600000,0
66,6,[0],284,1000000,620000,0
67,7,[1],324,1000000,640000,0
68,8,[2],364,1000000,650000,0
69,9,[3],404,1000000,630000,0
70,10,[4],244,1000000,600000,0
71,11,[5],284,1000000,620000,0
72,12,[6],324,1000000,640000,0
73,13,[7],364,1000000,650000,0
74,14,[8],404,1000000,630000,0
75,15,[9],244,1000000,600000,0
76,16,[10],284,1000000,620000,0
77,17,[11],324,1000000,640000,0
78,18,[12],364,1000000,650000,0
79,19,[13],404,1000000,630000,0
80,0,[15],244,1000000,600000,0
81,1,[16],284,1000000,620000,0
82,2,[17],324,1000000,640000,0
83,3,[18],364,1000000,650000,0
84,4,[19],404,1000000,630000,0
85,5,[0],244,1000000,600000,0
86,6,[1],284,1000000,620000,0
87,7,[2],324,1000000,640000,0
88,8,[3],364,1000000,650000,0
89,9,[4],404,1000000,630000,0
90,10,[5],244,1000000,600000,0
91,11,[6],284,1000000,620000,0
92,12,[7],324,1000000,640000,0
93,13,[8],364,1000000,650000,0
94,14,[9],404,1000000,630000,0
95,15,[10],244,1000000,600000,0
96,16,[11],284,1000000,620000,0
97,17,[12],324,1000000,640000,0
98,18,[13],364,1000000,650000,0
99,19,[14],404,1000000,630000,0
