stream,src,dst,size,period,deadline,jitter
0,0,[21],244,1000000,600000,0
1,1,[22],284,1000000,620000,0
2,2,[23],324,1000000,640000,0
3,3,[24],364,1000000,650000,0
4,4,[25],404,1000000,630000,0
5,5,[26],244,1000000,600000,0
6,6,[27],284,1000000,620000,0
7,7,[28],324,1000000,640000,0
8,8,[29],364,1000000,650000,0
9,9,[30],404,1000000,630000,0
10,10,[31],244,1000000,600000,0
11,11,[32],284,1000000,620000,0
12,12,[33],324,1000000,640000,0
13,13,[34],364,1000000,650000,0
14,14,[35],404,1000000,630000,0
15,15,[36],244,1000000,600000,0
16,16,[37],284,1000000,620000,0
17,17,[38],324,1000000,640000,0
18,18,[39],364,1000000,650000,0
19,19,[0],404,1000000,630000,0
20,20,[1],244,1000000,600000,0
21,21,[2],284,1000000,620000,0
22,22,[3],324,1000000,640000,0
23,23,[4],364,1000000,650000,0
24,24,[5],404,1000000,630000,0
25,25,[6],244,1000000,600000,0
26,26,[7],284,1000000,620000,0
27,27,[8],324,1000000,640000,0
28,28,[9],364,1000000,650000,0
29,29,[10],404,1000000,630000,0
30,30,[11],244,1000000,600000,0
31,31,[12],284,1000000,620000,0
32,32,[13],324,1000000,640000,0
33,33,[14],364,1000000,650000,0
34,34,[15],404,1000000,630000,0
35,35,[16],244,1000000,600000,0
36,36,[17],284,1000000,620000,0
37,37,[18],324,1000000,640000,0
38,38,[19],364,1000000,650000,0
39,39,[20],404,1000000,630000,0
40,0,[22],244,1000000,600000,0
41,1,[23],284,1000000,620000,0
42,2,[24],324,1000000,640000,0
43,3,[25],364,1000000,650000,0
44,4,[26],404,1000000,630000,0
45,5,[27],244,1000000,600000,0
46,6,[28],284,1000000,620000,0
47,7,[29],324,1000000,640000,0
48,8,[30],364,1000000,650000,0
49,9,[31],404,1000000,630000,0
50,10,[32],244,1000000,600000,0
51,11,[33],284,1000000,620000,0
52,12,[34],324,1000000,640000,0
53,13,[35],364,1000000,650000,0
54,14,[36],404,1000000,630000,0
55,15,[37],244,1000000,600000,0
56,16,[38],284,1000000,620000,0
57,17,[39],324,1000000,640000,0
58,18,[0],364,1000000,650000,0
59,19,[1],404,1000000,630000,0
60,20,[2],244,1000000,600000,0
61,21,[3],284,1000000,620000,0
62,22,[4],324,1000000,640000,0
63,23,[5],364,1000000,650000,0
64,24,[6],404,1000000,630000,0
65,25,[7],244,1000000,600000,0
66,26,[8],284,1000000,620000,0
67,27,[9],324,1000000,640000,0
68,28,[10],364,1000000,650000,0
69,29,[11],404,1000000,630000,0
70,30,[12],244,1000000,600000,0
71,31,[13],284,1000000,620000,0
72,32,[14],324,1000000,640000,0
73,33,[15],364,1000000,650000,0
74,34,[16],404,1000000,630000,0
75,35,[17],244,1000000,600000,0
76,36,[18],284,1000000,620000,0
77,37,[19],324,1000000,640000,0
78,38,[20],364,1000000,650000,0
79,39,[21],404,1000000,630000,0
80,0,[23],244,1000000,600000,0
81,1,[24],284,1000000,620000,0
82,2,[25],324,1000000,640000,0
83,3,[26],364,1000000,650000,0
84,4,[27],404,1000000,630000,0
85,5,[28],244,1000000,600000,0
