link,q_num,rate,t_proc,t_prop
"(0, 40)",8,1,0,0
"(40, 0)",8,1,0,0
"(1, 41)",8,1,0,0
"(41, 1)",8,1,0,0
"(2, 43)",8,1,0,0
"(43, 2)",8,1,0,0
"(3, 44)",8,1,0,0
"(44, 3)",8,1,0,0
"(4, 46)",8,1,0,0
"(46, 4)",8,1,0,0
"(5, 47)",8,1,0,0
"(47, 5)",8,1,0,0
"(6, 49)",8,1,0,0
"(49, 6)",8,1,0,0
"(7, 50)",8,1,0,0
"(50, 7)",8,1,0,0
"(8, 52)",8,1,0,0
"(52, 8)",8,1,0,0
"(9, 53)",8,1,0,0
"(53, 9)",8,1,0,0
"(10, 55)",8,1,0,0
"(55, 10)",8,1,0,0
"(11, 56)",8,1,0,0
"(56, 11)",8,1,0,0
"(12, 58)",8,1,0,0
"(58, 12)",8,1,0,0
"(13, 59)",8,1,0,0
"(59, 13)",8,1,0,0
"(14, 61)",8,1,0,0
"(61, 14)",8,1,0,0
"(15, 62)",8,1,0,0
"(62, 15)",8,1,0,0
"(16, 64)",8,1,0,0
"(64, 16)",8,1,0,0
"(17, 65)",8,1,0,0
"(65, 17)",8,1,0,0
"(18, 67)",8,1,0,0
"(67, 18)",8,1,0,0
"(19, 68)",8,1,0,0
"(68, 19)",8,1,0,0
"(20, 70)",8,1,0,0
"(70, 20)",8,1,0,0
"(21, 71)",8,1,0,0
"(71, 21)",8,1,0,0
"(22, 73)",8,1,0,0
"(73, 22)",8,1,0,0
"(23, 74)",8,1,0,0
"(74, 23)",8,1,0,0
"(24, 76)",8,1,0,0
"(76, 24)",8,1,0,0
"(25, 77)",8,1,0,0
"(77, 25)",8,1,0,0
"(26, 79)",8,1,0,0
"(79, 26)",8,1,0,0
"(27, 80)",8,1,0,0
"(80, 27)",8,1,0,0
"(28, 82)",8,1,0,0
"(82, 28)",8,1,0,0
"(29, 83)",8,1,0,0
"(83, 29)",8,1,0,0
"(30, 85)",8,1,0,0
"(85, 30)",8,1,0,0
"(31, 86)",8,1,0,0
"(86, 31)",8,1,0,0
"(32, 88)",8,1,0,0
"(88, 32)",8,1,0,0
"(33, 89)",8,1,0,0
"(89, 33)",8,1,0,0
"(34, 91)",8,1,0,0
"(91, 34)",8,1,0,0
"(35, 92)",8,1,0,0
"(92, 35)",8,1,0,0
"(36, 94)",8,1,0,0
"(94, 36)",8,1,0,0
"(37, 95)",8,1,0,0
"(95, 37)",8,1,0,0
"(38, 97)",8,1,0,0
"(97, 38)",8,1,0,0
"(39, 98)",8,1,0,0
"(98, 39)",8,1,0,0
"(40, 41)",8,1,0,0
"(41, 40)",8,1,0,0
"(40, 42)",8,1,0,0
"(42, 40)",8,1,0,0
"(40, 98)",8,1,0,0
"(98, 40)",8,1,0,0
"(40, 99)",8,1,0,0
"(99, 40)",8,1,0,0
"(41, 42)",8,1,0,0
"(42, 41)",8,1,0,0
"(41, 43)",8,1,0,0
"(43, 41)",8,1,0,0
"(41, 99)",8,1,0,0
"(99, 41)",8,1,0,0
"(42, 43)",8,1,0,0
"(43, 42)",8,1,0,0
"(42, 44)",8,1,0,0
"(44, 42)",8,1,0,0
"(43, 44)",8,1,0,0
"(44, 43)",8,1,0,0
"(43, 45)",8,1,0,0
"(45, 43)",8,1,0,0
"(44, 45)",8,1,0,0
"(45, 44)",8,1,0,0
"(44, 46)",8,1,0,0
"(46, 44)",8,1,0,0
"(45, 46)",8,1,0,0
"(46, 45)",8,1,0,0
"(45, 47)",8,1,0,0
"(47, 45)",8,1,0,0
"(46, 47)",8,1,0,0
"(47, 46)",8,1,0,0
"(46, 48)",8,1,0,0
"(48, 46)",8,1,0,0
"(47, 48)",8,1,0,0
"(48, 47)",8,1,0,0
"(47, 49)",8,1,0,0
"(49, 47)",8,1,0,0
"(48, 49)",8,1,0,0
"(49, 48)",8,1,0,0
"(48, 50)",8,1,0,0
"(50, 48)",8,1,0,0
"(49, 50)",8,1,0,0
"(50, 49)",8,1,0,0
"(49, 51)",8,1,0,0
"(51, 49)",8,1,0,0
"(50, 51)",8,1,0,0
"(51, 50)",8,1,0,0
"(50, 52)",8,1,0,0
"(52, 50)",8,1,0,0
"(51, 52)",8,1,0,0
"(52, 51)",8,1,0,0
"(51, 53)",8,1,0,0
"(53, 51)",8,1,0,0
"(52, 53)",8,1,0,0
"(53, 52)",8,1,0,0
"(52, 54)",8,1,0,0
"(54, 52)",8,1,0,0
"(53, 54)",8,1,0,0
"(54, 53)",8,1,0,0
"(53, 55)",8,1,0,0
"(55, 53)",8,1,0,0
"(54, 55)",8,1,0,0
"(55, 54)",8,1,0,0
"(54, 56)",8,1,0,0
"(56, 54)",8,1,0,0
"(55, 56)",8,1,0,0
"(56, 55)",8,1,0,0
"(55, 57)",8,1,0,0
"(57, 55)",8,1,0,0
"(56, 57)",8,1,0,0
"(57, 56)",8,1,0,0
"(56, 58)",8,1,0,0
"(58, 56)",8,1,0,0
"(57, 58)",8,1,0,0
"(58, 57)",8,1,0,0
"(57, 59)",8,1,0,0
"(59, 57)",8,1,0,0
"(58, 59)",8,1,0,0
"(59, 58)",8,1,0,0
"(58, 60)",8,1,0,0
"(60, 58)",8,1,0,0
"(59, 60)",8,1,0,0
"(60, 59)",8,1,0,0
"(59, 61)",8,1,0,0
"(61, 59)",8,1,0,0
"(60, 61)",8,1,0,0
"(61, 60)",8,1,0,0
"(60, 62)",8,1,0,0
"(62, 60)",8,1,0,0
"(61, 62)",8,1,0,0
"(62, 61)",8,1,0,0
"(61, 63)",8,1,0,0
"(63, 61)",8,1,0,0
"(62, 63)",8,1,0,0
"(63, 62)",8,1,0,0
"(62, 64)",8,1,0,0
"(64, 62)",8,1,0,0
"(63, 64)",8,1,0,0
"(64, 63)",8,1,0,0
"(63, 65)",8,1,0,0
"(65, 63)",8,1,0,0
"(64, 65)",8,1,0,0
"(65, 64)",8,1,0,0
"(64, 66)",8,1,0,0
"(66, 64)",8,1,0,0
"(65, 66)",8,1,0,0
"(66, 65)",8,1,0,0
"(65, 67)",8,1,0,0
"(67, 65)",8,1,0,0
"(66, 67)",8,1,0,0
"(67, 66)",8,1,0,0
"(66, 68)",8,1,0,0
"(68, 66)",8,1,0,0
"(67, 68)",8,1,0,0
"(68, 67)",8,1,0,0
"(67, 69)",8,1,0,0
"(69, 67)",8,1,0,0
"(68, 69)",8,1,0,0
"(69, 68)",8,1,0,0
"(68, 70)",8,1,0,0
"(70, 68)",8,1,0,0
"(69, 70)",8,1,0,0
"(70, 69)",8,1,0,0
"(69, 71)",8,1,0,0
"(71, 69)",8,1,0,0
"(70, 71)",8,1,0,0
"(71, 70)",8,1,0,0
"(70, 72)",8,1,0,0
"(72, 70)",8,1,0,0
"(71, 72)",8,1,0,0
"(72, 71)",8,1,0,0
"(71, 73)",8,1,0,0
"(73, 71)",8,1,0,0
"(72, 73)",8,1,0,0
"(73, 72)",8,1,0,0
"(72, 74)",8,1,0,0
"(74, 72)",8,1,0,0
"(73, 74)",8,1,0,0
"(74, 73)",8,1,0,0
"(73, 75)",8,1,0,0
"(75, 73)",8,1,0,0
"(74, 75)",8,1,0,0
"(75, 74)",8,1,0,0
"(74, 76)",8,1,0,0
"(76, 74)",8,1,0,0
"(75, 76)",8,1,0,0
"(76, 75)",8,1,0,0
"(75, 77)",8,1,0,0
"(77, 75)",8,1,0,0
"(76, 77)",8,1,0,0
"(77, 76)",8,1,0,0
"(76, 78)",8,1,0,0
"(78, 76)",8,1,0,0
"(77, 78)",8,1,0,0
"(78, 77)",8,1,0,0
"(77, 79)",8,1,0,0
"(79, 77)",8,1,0,0
"(78, 79)",8,1,0,0
"(79, 78)",8,1,0,0
"(78, 80)",8,1,0,0
"(80, 78)",8,1,0,0
"(79, 80)",8,1,0,0
"(80, 79)",8,1,0,0
"(79, 81)",8,1,0,0
"(81, 79)",8,1,0,0
"(80, 81)",8,1,0,0
"(81, 80)",8,1,0,0
"(80, 82)",8,1,0,0
"(82, 80)",8,1,0,0
"(81, 82)",8,1,0,0
"(82, 81)",8,1,0,0
"(81, 83)",8,1,0,0
"(83, 81)",8,1,0,0
"(82, 83)",8,1,0,0
"(83, 82)",8,1,0,0
"(82, 84)",8,1,0,0
"(84, 82)",8,1,0,0
"(83, 84)",8,1,0,0
"(84, 83)",8,1,0,0
"(83, 85)",8,1,0,0
"(85, 83)",8,1,0,0
"(84, 85)",8,1,0,0
"(85, 84)",8,1,0,0
"(84, 86)",8,1,0,0
"(86, 84)",8,1,0,0
"(85, 86)",8,1,0,0
"(86, 85)",8,1,0,0
"(85, 87)",8,1,0,0
"(87, 85)",8,1,0,0
"(86, 87)",8,1,0,0
"(87, 86)",8,1,0,0
"(86, 88)",8,1,0,0
"(88, 86)",8,1,0,0
"(87, 88)",8,1,0,0
"(88, 87)",8,1,0,0
"(87, 89)",8,1,0,0
"(89, 87)",8,1,0,0
"(88, 89)",8,1,0,0
"(89, 88)",8,1,0,0
"(88, 90)",8,1,0,0
"(90, 88)",8,1,0,0
"(89, 90)",8,1,0,0
"(90, 89)",8,1,0,0
"(89, 91)",8,1,0,0
"(91, 89)",8,1,0,0
"(90, 91)",8,1,0,0
"(91, 90)",8,1,0,0
"(90, 92)",8,1,0,0
"(92, 90)",8,1,0,0
"(91, 92)",8,1,0,0
"(92, 91)",8,1,0,0
"(91, 93)",8,1,0,0
"(93, 91)",8,1,0,0
"(92, 93)",8,1,0,0
"(93, 92)",8,1,0,0
"(92, 94)",8,1,0,0
"(94, 92)",8,1,0,0
"(93, 94)",8,1,0,0
"(94, 93)",8,1,0,0
"(93, 95)",8,1,0,0
"(95, 93)",8,1,0,0
"(94, 95)",8,1,0,0
"(95, 94)",8,1,0,0
"(94, 96)",8,1,0,0
"(96, 94)",8,1,0,0
"(95, 96)",8,1,0,0
"(96, 95)",8,1,0,0
"(95, 97)",8,1,0,0
"(97, 95)",8,1,0,0
"(96, 97)",8,1,0,0
"(97, 96)",8,1,0,0
"(96, 98)",8,1,0,0
"(98, 96)",8,1,0,0
"(97, 98)",8,1,0,0
"(98, 97)",8,1,0,0
"(97, 99)",8,1,0,0
"(99, 97)",8,1,0,0
"(98, 99)",8,1,0,0
"(99, 98)",8,1,0,0
